metric,anthropic,deepseek,difference
input_tokens,157.81967213114754,1882.3333333333333,1724.5136612021856
output_tokens,412.2295081967213,260.6666666666667,-151.56284153005464
total_tokens,570.0491803278688,2143.0,1572.9508196721313
input_percentage,28.72121514335876,87.86047704411918,59.13926190076042
output_percentage,71.27878485664124,12.139522955880816,-59.139261900760424
