language,anthropic_efficiency,deepseek_efficiency,difference
strategic,3.277241448503872,9.612936083524314,6.335694635020442
russian,-7.417229659657353,8.225108225108231,15.642337884765585
chinese,-3.9929652807858242,18.143621084797555,22.13658636558338
german,-3.8524059569369515,6.175197351667934,10.027603308604885
