prompt_type,input_tokens,output_tokens,total_tokens,input_percentage,output_percentage
chinese,1882.3333333333333,260.6666666666667,2143.0,87.83636646445792,12.163633535542075
english,1808.0,810.0,2618.0,69.06035141329258,30.939648586707406
german,1878.3333333333333,578.0,2456.3333333333335,76.46899172207897,23.53100827792102
russian,1880.0,522.6666666666666,2402.6666666666665,78.24639289678136,21.753607103218645
strategic,1959.0,407.3333333333333,2366.3333333333335,82.78630793069446,17.213692069305534
