prompt_type,mean,std,count,token_reduction,efficiency_percent,more_efficient_than_english
arabic,641.5,120.91525958289962,2,-35.5,-5.858085808580858,False
chinese,528.5,60.10407640085654,2,77.5,12.788778877887788,True
english,606.0,179.60512242138307,2,0.0,0.0,False
finnish,542.5,6.363961030678928,2,63.5,10.478547854785479,True
german,552.0,97.58073580374356,2,54.0,8.91089108910891,True
japanese,530.5,135.0573952066306,2,75.5,12.458745874587459,True
korean,582.5,0.7071067811865476,2,23.5,3.8778877887788776,True
russian,541.5,57.27564927611035,2,64.5,10.643564356435643,True
strategic,540.5,6.363961030678928,2,65.5,10.80858085808581,True
