language,lci,token_efficiency,info_density_ratio,char_efficiency,token_reduction_percent,english_tokens_mean,lang_tokens_mean
russian,0.8924582846149658,1.0743068391866915,0.8262472703431695,0,6.9167240192704815,581.2,541.0
japanese,0.8735408125661682,1.152602875557759,0.606596957438376,0,13.239848589125952,581.2,504.25
german,0.8564450931125833,1.0136030694105338,0.8276108382208771,0,1.3420509291121934,581.2,573.4
chinese,0.8360199960638028,1.125484120836561,0.5357650785395542,0,11.149346180316597,581.2,516.4
strategic,0.8319052988392678,1.0883895131086143,0.5962386365803307,0,8.121128699242954,581.2,534.0
finnish,0.7977135674803228,0.9689896632210738,0.7210658984922622,0,-3.2002752924982634,581.2,599.8
arabic,0.7880065638210594,1.0134263295553618,0.5998358869594745,0,1.3248451479697256,581.2,573.5
korean,0.7529529753528132,0.9964852121731677,0.5168728268297087,0,-0.3527185134205014,581.2,583.25
